Name,Table,BeginTime,EndTime,Duration
butLeft,table,04/15/2015 19:36:23,04/15/2015 19:36:24,0
cat,table,04/15/2015 19:36:24,04/15/2015 19:36:25,0
cat,table,04/15/2015 19:36:25,04/15/2015 19:36:25,0
dog,table,04/15/2015 19:36:25,04/15/2015 19:36:25,0
dog,table,04/15/2015 19:36:25,04/15/2015 19:36:26,0
dog,table,04/15/2015 19:36:26,04/15/2015 19:36:26,0
horse,table,04/15/2015 19:36:26,04/15/2015 19:36:27,0
horse,table,04/15/2015 19:36:27,04/15/2015 19:36:27,0
horse,table,04/15/2015 19:36:27,04/15/2015 19:36:29,2
Name,Table,BeginTime,EndTime,Duration
butLeft,table,04/15/2015 19:36:46,04/15/2015 19:36:48,1
cat,table,04/15/2015 19:36:48,04/15/2015 19:36:49,0
dog,table,04/15/2015 19:36:49,04/15/2015 19:36:49,0
horse,table,04/15/2015 19:36:49,04/15/2015 19:36:50,0
butLeft,table,04/15/2015 19:37:33,04/15/2015 19:37:33,0
cat,table,04/15/2015 19:37:33,04/15/2015 19:37:34,0
cat,table,04/15/2015 19:37:34,04/15/2015 19:37:34,0
dog,table,04/15/2015 19:37:34,04/15/2015 19:37:34,0
dog,table,04/15/2015 19:37:34,04/15/2015 19:37:35,0
butLeft,table,04/15/2015 19:37:56,04/15/2015 19:37:59,2
cat,table,04/15/2015 19:37:59,04/15/2015 19:37:59,0
cat,table,04/15/2015 19:37:59,04/15/2015 19:38:00,0
cat,table,04/15/2015 19:38:00,04/15/2015 19:38:06,6
butLeft,table,04/17/2015 12:34:35,04/17/2015 12:34:44,8
cat,table,04/17/2015 12:34:44,04/17/2015 12:34:45,0
cat,table,04/17/2015 12:34:45,04/17/2015 12:34:45,0
cat,table,04/17/2015 12:34:45,04/17/2015 12:34:46,1
dog,table,04/17/2015 12:34:46,04/17/2015 12:34:47,0
dog,table,04/17/2015 12:34:47,04/17/2015 12:34:48,1
horse,table,04/17/2015 12:34:48,04/17/2015 12:34:52,3
