Name,Table,BeginTime,EndTime,Duration
butLeft,table,04/17/2015 13:47:35,04/17/2015 13:47:38,2
cat,table,04/17/2015 13:47:38,04/17/2015 13:47:39,1
dog,table,04/17/2015 13:47:39,04/17/2015 13:47:39,0
dog,table,04/17/2015 13:47:39,04/17/2015 13:47:40,1
horse,table,04/17/2015 13:47:40,04/17/2015 13:47:41,1
butLeft,table,04/17/2015 14:11:24,04/17/2015 14:11:46,21
butLeft,table,04/17/2015 14:12:56,04/17/2015 14:13:12,16
butLeft,table,04/17/2015 14:13:32,04/17/2015 14:13:32,0
butLeft,table,04/17/2015 14:13:32,04/17/2015 14:13:39,7
butLeft,table,04/17/2015 14:13:39,04/17/2015 14:13:39,0
butLeft,table,04/17/2015 14:16:47,04/17/2015 14:16:47,0
butLeft,table,04/17/2015 14:17:25,04/17/2015 14:17:25,0
butLeft,table,04/17/2015 14:17:25,04/17/2015 14:17:26,1
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:25,04/17/2015 14:17:26,1
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:25,04/17/2015 14:17:26,1
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:25,04/17/2015 14:17:26,1
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:17:26,04/17/2015 14:17:26,0
butLeft,table,04/17/2015 14:19:20,04/17/2015 14:19:20,0
butLeft,table,04/17/2015 14:19:20,04/17/2015 14:19:34,13
butLeft,table,04/17/2015 14:19:34,04/17/2015 14:19:34,0
butLeft,table,04/17/2015 14:20:04,04/17/2015 14:20:04,0
butLeft,table,04/17/2015 14:20:25,04/17/2015 14:20:46,21
butLeft,table,04/17/2015 14:25:47,04/17/2015 14:25:47,0
butLeft,table,04/17/2015 14:25:47,04/17/2015 14:26:05,17
butLeft,table,04/17/2015 14:26:05,04/17/2015 14:26:05,0
butLeft,table,04/17/2015 14:26:50,04/17/2015 14:26:50,0
butLeft,table,04/17/2015 14:27:47,04/17/2015 14:27:47,0
